id,type,name,img
1,airlines,American Aadvantage,https://i.imgur.com/Pc1I7uX.png
2,airlines,Unietd MileagePlus,https://i.imgur.com/znFTwQ1.png
3,airlines,SouthWest,https://i.imgur.com/B7Jvm5b.png
4,airlines,Delta,https://i.imgur.com/B7Jvm5b.png
5,airlines,Turkish Airlines,https://i.imgur.com/B7Jvm5b.png
6,airlines,Etihad Guest,https://i.imgur.com/B7Jvm5b.png
7,airlines,British Airways,https://i.imgur.com/B7Jvm5b.png
8,airlines,Qatar Airways,https://i.imgur.com/B7Jvm5b.png
9,airlines,Singapore Air,https://i.imgur.com/B7Jvm5b.png
10,airlines,Korean Skypass,https://i.imgur.com/B7Jvm5b.png
11,airlines,Air France Flying Blue,https://i.imgur.com/B7Jvm5b.png
12,airlines,Frontier,https://i.imgur.com/B7Jvm5b.png
13,airlines,Asiana Airlines,https://i.imgur.com/B7Jvm5b.png
14,airlines,Qantas,https://i.imgur.com/B7Jvm5b.png
15,airlines,ANA Mileage Club,https://i.imgur.com/B7Jvm5b.png
16,airlines,Alaska Airlines,https://i.imgur.com/B7Jvm5b.png
17,airlines,Hawaiian Airlines,https://i.imgur.com/B7Jvm5b.png
18,misc,AwardWallet,https://i.imgur.com/B7Jvm5b.png
19,misc,Priority Pass,https://i.imgur.com/B7Jvm5b.png
20,misc,AA eShopping,https://i.imgur.com/B7Jvm5b.png
21,misc,Global Entry,https://i.imgur.com/B7Jvm5b.png
22,misc,Hertz Rentals,https://i.imgur.com/B7Jvm5b.png
23,hotels,IHG,https://i.imgur.com/B7Jvm5b.png
24,hotels,Hilton Honors,https://i.imgur.com/3A83gV6.png
25,hotels,Club Carlson,https://i.imgur.com/B7Jvm5b.png
26,hotels,Marriott/SPG,https://i.imgur.com/B7Jvm5b.png
27,hotels,Hyatt,https://i.imgur.com/UnaXElg.png